ZTCA,Median_Household_Income,Mean_Household_Income
35004,62902,71145
35005,50473,60551
35006,55909,72128
35007,73587,81551
35010,41954,59677
35013,,
35014,47691,61802
35016,46157,65972
35019,38080,56962
35020,29133,41031
35022,61516,75398
35023,54614,65711
35031,47674,73399
35032,29750,38147
35033,50682,62030
35034,39087,47055
35035,42167,76498
35036,16591,22607
35040,62508,72015
35042,52550,66710
35043,100864,102104
35044,38152,48072
35045,45853,67512
35046,52031,59072
35049,47212,58474
35051,51782,79339
35052,,
35053,54537,95138
35054,46441,75684
35055,46953,61424
35057,49786,62963
35058,43188,64632
35060,23889,32099
35061,44375,55715
35062,52741,75854
35063,56538,62044
35064,40570,44692
35068,62823,68770
35070,37708,55177
35071,70963,83660
35072,37622,49327
35073,39826,54285
35074,,
35077,39490,51937
35078,62557,75813
35079,61837,73204
35080,88952,98315
35082,,
35083,35750,45048
35085,43542,59766
35087,31789,58281
35089,32402,44500
35091,82500,87707
35094,60422,79013
35096,55766,66306
35097,45950,60092
35098,31429,55045
35111,71662,84475
35112,,92676
35114,85183,98708
35115,42034,54073
35116,66414,79264
35117,71956,84441
35118,62368,66573
35119,,
35120,67703,73103
35121,44308,62621
35124,79847,100822
35125,46094,57635
35126,67823,79409
35127,70526,83323
35128,61354,76204
35130,37977,47683
35131,40033,59645
35133,50121,58316
35135,56422,70071
35136,41339,62545
35139,15469,19309
35143,68355,77530
35146,80351,83401
35147,74593,91100
35148,41424,60685
35149,41144,44755
35150,31819,49923
35151,48820,65943
35160,34210,50909
35171,56410,64230
35172,34052,53231
35173,89923,109942
35175,52938,73130
35176,,48577
35178,34088,48342
35179,47437,61834
35180,58750,71102
35183,56579,71876
35184,38313,52697
35186,64796,89684
35187,,
35188,57750,66788
35203,17248,55876
35204,23027,31704
35205,39236,65490
35206,33852,50532
35207,24533,36305
35208,36014,45035
35209,59931,99385
35210,55394,75738
35211,32051,43306
35212,30240,46155
35213,122379,183414
35214,51871,59486
35215,42519,56194
35216,63348,98948
35217,35551,49516
35218,27012,44497
35221,36313,50345
35222,62246,89304
35223,141604,212754
35224,37983,46729
35226,106905,127955
35228,33486,47605
35229,,
35233,41994,61185
35234,24205,37526
35235,56301,64744
35242,98780,137874
35243,89007,131786
35244,91323,115741
35254,,37206
35401,26216,40055
35404,40651,58229
35405,56711,69522
35406,104172,136234
35441,41071,53246
35442,31921,46561
35443,15000,26810
35444,50644,61678
35446,42314,55360
35447,40088,55164
35452,52762,80902
35453,58750,65006
35456,50634,59523
35457,,
35458,43875,82511
35459,32750,48226
35460,22396,36899
35461,50361,64677
35462,23323,34671
35463,55602,68180
35464,11731,21495
35466,44402,67364
35469,36012,31933
35470,22884,39812
35473,64949,74310
35474,55342,80583
35475,79222,88208
35476,36821,49432
35477,,43085
35480,83438,82633
35481,31458,47035
35490,56150,64886
35501,37014,50372
35503,53344,66430
35504,58403,71084
35540,42648,60208
35541,51646,66368
35542,39583,55770
35543,27917,39462
35544,55500,82650
35545,28750,30128
35546,56106,61802
35548,37069,46244
35549,37308,49173
35550,39776,53001
35552,43715,43728
35553,30139,42279
35554,37270,48898
35555,40012,56932
35559,,
35563,37778,47760
35564,28370,51077
35565,32121,49672
35570,37695,49735
35571,46979,64110
35572,31193,54143
35574,39261,79144
35575,39716,44219
35576,46127,57809
35577,,42731
35578,36485,52483
35579,47417,60315
35580,41997,57564
35581,44871,58581
35582,38594,50935
35584,25313,39018
35585,45750,69752
35586,32500,43211
35587,36750,42521
35592,36116,49978
35593,45455,51986
35594,40881,56686
35601,43267,57868
35603,56795,78291
35610,43211,60875
35611,40257,60090
35613,79484,94982
35614,45276,54444
35615,,
35616,41034,53217
35618,29850,38011
35619,53051,67673
35620,58301,74968
35621,51618,67834
35622,52217,58060
35630,36405,51748
35633,59359,72724
35634,74668,84213
35640,58572,72289
35643,44754,59814
35645,62007,82368
35646,41894,52034
35647,65938,74272
35648,56172,61257
35649,130000,266263
35650,43521,57897
35651,35438,47677
35652,54135,70590
35653,43547,55672
35654,42622,56472
35660,34194,53266
35661,60311,73660
35670,55592,66751
35671,30539,50685
35672,51505,61906
35673,53822,66657
35674,49358,58023
35677,38125,48744
35739,51575,67655
35740,30531,46766
35741,74569,117411
35744,36760,44192
35745,30625,59095
35746,33980,41486
35747,56563,80488
35748,75370,100236
35749,91496,99969
35750,56250,69369
35751,48000,112873
35752,47002,48126
35754,50417,61852
35755,46364,62644
35756,94737,114150
35757,91765,110367
35758,91900,115325
35759,90655,98134
35760,53831,68757
35761,64521,82681
35763,121158,134924
35764,28750,42098
35765,37429,59877
35766,,37119
35768,43219,56819
35769,45677,64700
35771,50064,57541
35772,39556,48450
35773,54933,72255
35774,52750,60796
35775,36591,40560
35776,38448,53910
35801,71947,108002
35802,64702,95615
35803,78524,94556
35805,25511,37391
35806,68490,86080
35808,90104,100485
35810,37488,51355
35811,65740,81812
35816,25451,35526
35824,83950,97533
35896,,
35901,39688,59486
35903,37492,51281
35904,35349,51513
35905,57989,71212
35906,50929,71358
35907,73143,86365
35950,44670,55406
35951,37000,58409
35952,40991,50591
35953,46096,56315
35954,39956,54614
35956,47016,61068
35957,40235,52414
35958,42885,59034
35959,39743,53252
35960,44189,61367
35961,39467,51908
35962,42796,56315
35963,33250,57134
35966,41912,51236
35967,39575,51464
35968,44185,61258
35971,43472,66064
35972,60398,61405
35973,37244,48696
35974,40882,66684
35975,30938,41389
35976,50580,72957
35978,41020,50958
35979,35417,39008
35980,46198,62076
35981,43641,62626
35983,55052,70092
35984,41071,66777
35986,36640,52075
35987,42391,58596
35988,43679,62476
35989,39185,64155
35990,,35900
36003,37000,58940
36005,49722,71714
36006,47154,73438
36009,38500,60784
36010,40345,59265
36013,103696,114889
36016,33263,46020
36017,24413,42662
36020,41641,56434
36022,70200,87149
36024,53506,74414
36025,44952,68090
36026,44432,96472
36027,32767,48779
36028,37798,49894
36029,47216,65848
36030,33021,57769
36031,,50140
36032,34464,47509
36033,39425,53645
36034,42500,57080
36035,42292,62753
36036,44940,75462
36037,41733,56934
36038,,
36039,50677,55746
36040,24852,39237
36041,39931,88509
36042,47273,63410
36043,50000,73916
36046,40956,54329
36047,41895,43082
36048,31250,39634
36049,46696,58254
36051,70438,91408
36052,106406,109780
36053,28478,44743
36054,58125,71360
36064,109082,129367
36066,62284,81361
36067,53645,68484
36069,46020,64717
36071,31635,43321
36075,37202,53382
36078,54842,65307
36079,49792,71760
36080,81250,94545
36081,27368,48343
36082,,
36083,32394,52130
36088,31200,52212
36089,34417,44892
36091,39821,66658
36092,54861,69482
36093,98438,109317
36104,26401,47390
36105,31287,45385
36106,59985,81651
36107,29592,45607
36108,24832,40823
36109,54561,69919
36110,32760,47194
36111,51679,82099
36112,,
36113,88375,91040
36115,69028,100559
36116,45883,65969
36117,64011,84621
36201,27533,41236
36203,56237,76097
36205,85373,93909
36206,45115,57774
36207,54023,79579
36250,70813,74996
36251,35671,55420
36255,44375,74222
36256,41827,52883
36258,55500,65810
36260,40714,54523
36262,40147,72410
36263,26324,38067
36264,41123,54241
36265,50020,62986
36266,42574,57678
