"pn",Hospital name,Street address,City,State,"Zip code","Hospital system or, if independent, IPPS/CAH","Is_hospital_a_critical_access_hospital","Hospital Compare 5-star rating (October 2018, NA=Not Available)","Number of outpatient services","Total private allowed amount for outpatient services ($ millions)","Simulated Medicare allowed amount for outpatient services ($ millions)","Relative price for outpatient services","Standardized price per outpatient service","Number of inpatient stays","Total private allowed amount for inpatient services ($ millions)","Simulated Medicare allowed amount for inpatient services ($ millions)","Relative price for inpatient services","Standardized price per inpatient stay","Total private allowed amount for inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for inpatient and outpatient services ($ millions)","Relative price for professional inpatient and outpatient services","Relative price for inpatient facility services","Relative_price_for_outpatient_facility_services","Relative price for inpatient and outpatient services","Total private allowed amount for facility inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions)","Total private allowed amount for professional inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions)"
010001,"Southeast Alabama Medical
Center",1108 Ross Clark Circle,Dothan,AL,36301,Southeast Health,N,2,54,.11,.09,122% ,$92.34,,,,,,,,,,110%,,,,,
010005,"Marshall Medical Center -
South","2505 U S Highway 431
North",Boaz,AL,35957,"Marshall Health
System",N,1,43,.04,.02,216% ,$192.11,,,,,,,,,,238%,,,,,
010006,Eliza Coffee Memorial Hospital,205 Marengo Street,Florence,AL,35631,Lifepoint Health,N,3,118,.09,.04,194% ,$149.93,42,.52,.21,251% ,"$18,265",.61,.25,137% ,297%,205%,241% ,.51,.18,.09,.07
010011,St. Vincents East,"50 Medical Park East
Drive",Birmingham,AL,35235,Ascension Health,N,2,30,.06,.04,168% ,$130.33,,,,,,,,,,148%,,,,,
010012,"Dekalb Regional Medical
Center",200 Med Center Drive,Fort Payne,AL,35968,Quorum Health,N,2,18,.03,.02,114% ,$94.36,,,,,,,,,,108%,,,,,
010019,Helen Keller Hospital,"1300 South
Montgomery Avenue",Sheffield,AL,35660,"Huntsville Hospital
Health System",N,3,53,.10,.08,117% ,$84.47,,,,,,,,,,106%,,,,,
010023,Baptist Medical Center South,"2105 East South
Boulevard",Montgomery,AL,36116,Baptist Health,N,2,67,.06,.04,149% ,$119.25,,,,,,,,,,142%,,,,,
010024,"Jackson Hospital And Clinic
Inc",1725 Pine Street,Montgomery,AL,36106,Independent (IPPS),N,2,32,.03,.03,109% ,$99.38,,,,,,,,,,109%,,,,,
010029,East Alabama Medical Center,"2000 Pepperell
Parkway",Opelika,AL,36801,"East Alabama Medical
Center",N,4,603,.98,.61,160% ,$131.79,37,.56,.27,203% ,"$13,368",1.54,.89,157% ,214%,160%,174% ,1.29,.73,.25,.16
010033,University Of Alabama Hospital,619 South 19th Street,Birmingham,AL,35233,UAB Health System,N,2,345,.93,.32,291% ,$254.83,46,2.40,.72,336% ,"$36,760",3.33,1.04,214% ,358%,311%,322% ,2.94,.85,.39,.18
