id,Geographic Area ame,Estimate_Households_Mean_income
8600000US00601,ZCTA5 00601,18893
8600000US00602,ZCTA5 00602,25019
8600000US00603,ZCTA5 00603,28089
8600000US00606,ZCTA5 00606,16419
8600000US00610,ZCTA5 00610,26909
8600000US00612,ZCTA5 00612,25370
8600000US00616,ZCTA5 00616,24096
8600000US00617,ZCTA5 00617,23260
8600000US00622,ZCTA5 00622,30086
8600000US00623,ZCTA5 00623,24191
8600000US00624,ZCTA5 00624,24897
8600000US00627,ZCTA5 00627,26926
8600000US00631,ZCTA5 00631,16698
8600000US00637,ZCTA5 00637,25245
8600000US00638,ZCTA5 00638,22000
8600000US00641,ZCTA5 00641,22726
8600000US00646,ZCTA5 00646,47960
8600000US00647,ZCTA5 00647,17027
8600000US00650,ZCTA5 00650,24338
8600000US00652,ZCTA5 00652,27835
8600000US00653,ZCTA5 00653,18700
8600000US00656,ZCTA5 00656,23295
8600000US00659,ZCTA5 00659,27665
8600000US00660,ZCTA5 00660,27632
8600000US00662,ZCTA5 00662,24342
8600000US00664,ZCTA5 00664,20670
8600000US00667,ZCTA5 00667,19838
8600000US00669,ZCTA5 00669,22513
8600000US00670,ZCTA5 00670,20065
8600000US00674,ZCTA5 00674,27906
8600000US00676,ZCTA5 00676,23261
8600000US00677,ZCTA5 00677,28509
8600000US00678,ZCTA5 00678,24348
8600000US00680,ZCTA5 00680,24073
8600000US00682,ZCTA5 00682,28033
8600000US00683,ZCTA5 00683,24587
8600000US00685,ZCTA5 00685,22279
8600000US00687,ZCTA5 00687,27362
8600000US00688,ZCTA5 00688,23143
8600000US00690,ZCTA5 00690,25981
8600000US00692,ZCTA5 00692,33845
8600000US00693,ZCTA5 00693,27788
8600000US00694,ZCTA5 00694,
8600000US00698,ZCTA5 00698,21994
8600000US00703,ZCTA5 00703,26613
8600000US00704,ZCTA5 00704,19703
8600000US00705,ZCTA5 00705,27468
8600000US00707,ZCTA5 00707,25494
8600000US00714,ZCTA5 00714,21803
8600000US00715,ZCTA5 00715,17954
8600000US00716,ZCTA5 00716,34864
8600000US00717,ZCTA5 00717,23360
8600000US00718,ZCTA5 00718,24985
8600000US00719,ZCTA5 00719,25912
8600000US00720,ZCTA5 00720,20729
8600000US00723,ZCTA5 00723,22598
8600000US00725,ZCTA5 00725,32734
8600000US00727,ZCTA5 00727,44456
8600000US00728,ZCTA5 00728,26589
8600000US00729,ZCTA5 00729,32349
8600000US00730,ZCTA5 00730,27953
8600000US00731,ZCTA5 00731,28562
8600000US00735,ZCTA5 00735,32298
8600000US00736,ZCTA5 00736,30071
8600000US00738,ZCTA5 00738,29302
8600000US00739,ZCTA5 00739,30552
8600000US00740,ZCTA5 00740,16074
8600000US00741,ZCTA5 00741,26864
8600000US00745,ZCTA5 00745,30823
8600000US00751,ZCTA5 00751,23747
8600000US00754,ZCTA5 00754,27659
8600000US00757,ZCTA5 00757,27372
8600000US00765,ZCTA5 00765,22694
8600000US00766,ZCTA5 00766,29675
8600000US00767,ZCTA5 00767,22901
8600000US00769,ZCTA5 00769,27878
8600000US00771,ZCTA5 00771,30202
8600000US00772,ZCTA5 00772,21300
8600000US00773,ZCTA5 00773,29220
8600000US00775,ZCTA5 00775,27801
8600000US00777,ZCTA5 00777,25608
8600000US00778,ZCTA5 00778,49325
8600000US00780,ZCTA5 00780,39409
8600000US00782,ZCTA5 00782,17780
8600000US00783,ZCTA5 00783,21241
8600000US00784,ZCTA5 00784,25005
8600000US00786,ZCTA5 00786,32691
8600000US00791,ZCTA5 00791,31091
8600000US00794,ZCTA5 00794,22969
8600000US00795,ZCTA5 00795,29181
8600000US00901,ZCTA5 00901,66882
8600000US00906,ZCTA5 00906,95583
8600000US00907,ZCTA5 00907,67930
8600000US00909,ZCTA5 00909,30136
8600000US00911,ZCTA5 00911,56272
8600000US00912,ZCTA5 00912,37092
8600000US00913,ZCTA5 00913,18381
8600000US00915,ZCTA5 00915,21287
8600000US00917,ZCTA5 00917,29188
8600000US00918,ZCTA5 00918,41252
8600000US00920,ZCTA5 00920,34757
8600000US00921,ZCTA5 00921,30302
8600000US00923,ZCTA5 00923,24911
8600000US00924,ZCTA5 00924,31658
8600000US00925,ZCTA5 00925,21623
8600000US00926,ZCTA5 00926,59260
8600000US00927,ZCTA5 00927,54472
8600000US00934,ZCTA5 00934,
8600000US00936,ZCTA5 00936,
8600000US00949,ZCTA5 00949,35713
8600000US00950,ZCTA5 00950,
8600000US00951,ZCTA5 00951,
