,pn,Hospital name,Street address,City,State,Zip code,"Hospital system or, if independent, IPPS/CAH",Is_hospital_a_critical_access_hospital,"Hospital Compare 5-star rating (October 2018, NA=Not Available)",Number of outpatient services,Total private allowed amount for outpatient services ($ millions),Simulated Medicare allowed amount for outpatient services ($ millions),Relative price for outpatient services,Standardized price per outpatient service,Number of inpatient stays,Total private allowed amount for inpatient services ($ millions),Simulated Medicare allowed amount for inpatient services ($ millions),Relative price for inpatient services,Standardized price per inpatient stay,Total private allowed amount for inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for inpatient and outpatient services ($ millions),Relative price for professional inpatient and outpatient services,Relative price for inpatient facility services,Relative_price_for_outpatient_facility_services,Relative price for inpatient and outpatient services,Total private allowed amount for facility inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions),Total private allowed amount for professional inpatient and outpatient services ($ millions),Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions),ZTCA,year,ccr_wtd,ccr_min,ccr_max,beds_adultped_wtd,beds_adultped_min,beds_adultped_max,beds_totadultped_wtd,beds_totadultped_min,beds_totadultped_max,icu_beds_wtd,icu_beds_min,icu_beds_max,ccu_beds_wtd,ccu_beds_min,ccu_beds_max,bicu_beds_wtd,bicu_beds_min,bicu_beds_max,sicu_beds_wtd,sicu_beds_min,sicu_beds_max,othspec_beds_wtd,othspec_beds_min,othspec_beds_max,beds_total_wtd,beds_total_min,beds_total_max,availbeddays_adultped,ipbeddays_adultped,ipdischarges_adultped,income,totcost,margin,uccare_chg_harmonized,uccare_cost_harmonized,netpatrev,othinc,opexp,othexp,donations,invinc,iphosprev,ipgenrev,ipicrev,iprcrev,ipancrev,ipoprev,iptotrev,opancrev,opoprev,optotrev,tottotrev,totinitchcare,ppaychcare,nonmcbaddebt,costuccare_v2010,chguccare,nreports,nfmt96,nfmt10,nno_uncomp,frac_year_covered,covg_begin_dt,covg_end_dt,flag_short,flag_long,Median_Household_Income,Mean_Household_Income,number_of_hospitals_in_the_zcta,number_of_hospitals_in_25_miles
0,10001,"Southeast Alabama Medical
Center",1108 Ross Clark Circle,Dothan,AL,36301,Southeast Health,0,2.0,54.0,0.11,0.09,122% ,$92.34,,,,,,,,,,110%,,,,,,36301,2018.0,0.152631,0.152631,0.152631,271.0,271.0,271.0,271.0,271.0,271.0,40.0,40.0,40.0,,,,,,,,,,16.0,16.0,16.0,327.0,327.0,327.0,73982.99842,58362.91108,14931.229819999999,267071648.9,263326896.8,0.014021526000000001,94425531.17,14412263.56,254961097.7,12110555.73,263326893.1,0.0,83959.8393,2221958.92,125398252.6,125398252.6,30379419.9,155777672.5,485610170.5,30632538.02,672020381.0,585708583.9,54193774.09,704050222.7,1376070604.0,14854704.55,52130.28382,79622958.4,15911363.37,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,42140,58856,1,3
1,10005,"Marshall Medical Center -
South","2505 U S Highway 431
North",Boaz,AL,35957,"Marshall Health
System",0,1.0,43.0,0.04,0.02,216% ,$192.11,,,,,,,,,,238%,,,,,,35957,2018.0,0.274911,0.274911,0.274911,184.0,184.0,184.0,184.0,184.0,184.0,20.0,20.0,20.0,,,,,,,,,,,,,204.0,204.0,204.0,50231.99893,22884.87896,6783.114923,117333440.9,118325754.7,-0.008457213,28989936.69,7969652.18,110463627.9,6869809.998,118325757.7,0.0,310557.3139,1637421.803,14550483.83,14550483.83,3823181.672,18373665.5,63872029.27,3201694.567,85447389.34,225843001.3,16403356.48,245465732.3,330913121.7,12619655.1,57223.042610000004,16427505.39,9774334.722000001,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,40235,52414,1,2
2,10006,Eliza Coffee Memorial Hospital,205 Marengo Street,Florence,AL,35631,Lifepoint Health,0,3.0,118.0,0.09,0.04,194% ,$149.93,42.0,0.52,0.21,251% ,"$18,265",0.61,0.25,137% ,297%,205%,241% ,0.51,0.18,0.09,0.07,35631,2018.0,0.15158455099999998,0.14966,0.153541,244.96986299999998,181.0,310.0,244.96986299999998,181.0,310.0,26.578083000000003,17.0,36.0,23.438356,16.0,31.0,,,,,,,,,,294.9863014,233.0,358.0,99363.60833999999,45130.938389999996,12556.301000000001,169103132.4,151007355.6,0.1070103,50935227.15,7722334.308999999,166224421.2,2878706.168,150836936.4,170415.2184,0.0,4815.591759,44768641.13,44768641.13,27771131.78,72539772.91,387878344.1,0.0,460418664.0,184394463.2,176423911.4,384068692.5,844487356.5,9009728.582,0.0,41925497.56,8269425.04,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,,,1,1
3,10011,St. Vincents East,"50 Medical Park East
Drive",Birmingham,AL,35235,Ascension Health,0,2.0,30.0,0.06,0.04,168% ,$130.33,,,,,,,,,,148%,,,,,,35235,2018.0,0.16522914800000002,0.160179,0.17036300000000001,209.0,209.0,209.0,209.0,209.0,209.0,30.0,30.0,30.0,56.0,56.0,56.0,,,,14.0,14.0,14.0,,,,312.9671233,309.0,317.0,76284.99772999999,52854.03686,14598.032459999999,212242348.4,221480579.9,-0.043526805999999994,139759577.3,23058863.82,208680344.2,3562004.1769999997,221439026.8,41554.128580000004,0.0,0.0,88013077.83,103284242.1,79571620.11,182855862.2,465386302.2,12304576.32,660593450.7,213545470.2,319824565.0,533777499.5,1194370950.0,119624397.9,0.0,20135178.89,25718300.04,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,56301,64744,1,7
4,10012,"Dekalb Regional Medical
Center",200 Med Center Drive,Fort Payne,AL,35968,Quorum Health,0,2.0,18.0,0.03,0.02,114% ,$94.36,,,,,,,,,,108%,,,,,,35968,2018.0,0.10386389,0.10248800000000001,0.10806800000000001,85.0,85.0,85.0,85.0,85.0,85.0,12.0,12.0,12.0,,,,,,,,,,,,,97.0,97.0,97.0,31024.999539999997,8256.301245999999,3203.0547469999997,51286360.81,51991412.1,-0.013747345,23936598.08,2485780.812,50557472.36,728888.1947,51991400.55,11.30136967,0.0,0.0,12734813.86,21174140.05,6681797.805,27855937.86,133298297.6,7106689.373,168260924.9,242840451.3,34770317.91,277610769.2,445871694.1,10635402.85,0.0,13301195.23,2726647.11,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,44185,61258,1,1
5,10019,Helen Keller Hospital,"1300 South
Montgomery Avenue",Sheffield,AL,35660,"Huntsville Hospital
Health System",0,3.0,53.0,0.1,0.08,117% ,$84.47,,,,,,,,,,106%,,,,,,35660,2018.0,0.18798800000000002,0.18798800000000002,0.18798800000000002,166.0,166.0,166.0,166.0,166.0,166.0,12.0,12.0,12.0,,,,,,,,,,,,,178.0,178.0,178.0,45317.99903,17537.07086,5478.698513,70465843.01,70565008.57,-0.001407286,32537611.26,6116680.427,62826994.27,7638850.982000001,70565009.32,0.0,5323.873859,4286.473881,21701805.44,21701805.44,2561407.1119999997,24263212.55,91415149.02,4255430.416,119933792.0,199585299.5,25704760.23,225290059.7,345223851.7,3185760.3430000003,28412.941860000003,29380263.11,6535374.534,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,34194,53266,1,2
6,10023,Baptist Medical Center South,"2105 East South
Boulevard",Montgomery,AL,36116,Baptist Health,0,2.0,67.0,0.06,0.04,149% ,$119.25,,,,,,,,,,142%,,,,,,36116,2018.0,0.269564312,0.26529400000000003,0.27376500000000004,227.4547945,222.0,233.0,227.4547945,222.0,233.0,12.0,12.0,12.0,31.008219,30.0,32.0,,,,14.0,14.0,14.0,40.0,40.0,40.0,324.46301370000003,320.0,329.0,83020.99758,58667.88318,17732.48989,496575937.2,455584836.1,0.082547501,85145992.25,22959649.4,440573210.2,56002730.93,455584837.6,0.0,0.0,29478096.65,157129030.5,157129030.5,0.0,157129030.5,570319608.6,0.0,727448639.2,781216813.1,0.0,782210295.8,1509658935.0,25126075.11,0.0,60019914.63,25152212.46,,2.0,0.0,2.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,45883,65969,1,5
7,10024,"Jackson Hospital And Clinic
Inc",1725 Pine Street,Montgomery,AL,36106,Independent (IPPS),0,2.0,32.0,0.03,0.03,109% ,$99.38,,,,,,,,,,109%,,,,,,36106,2018.0,0.163177,0.163177,0.163177,236.0,236.0,236.0,236.0,236.0,236.0,34.0,34.0,34.0,,,,,,,,,,,,,270.0,270.0,270.0,86140.0,65655.0,15439.0,253733296.0,249269216.0,0.017593591999999998,69360728.0,11318076.0,243211462.0,10521841.0,231695140.0,17574077.0,26737.0,3740701.0,105503740.0,105503740.0,27124832.0,132628572.0,511164890.0,0.0,656806012.0,0.0,501155519.0,510096851.0,1166902863.0,51553640.0,0.0,17807091.0,11604349.0,,1.0,0.0,1.0,0.0,1.0,1-Jan-18,31-Dec-18,0.0,0.0,59985,81651,1,6
8,10029,East Alabama Medical Center,"2000 Pepperell
Parkway",Opelika,AL,36801,"East Alabama Medical
Center",0,4.0,603.0,0.98,0.61,160% ,$131.79,37.0,0.56,0.27,203% ,"$13,368",1.54,0.89,157% ,214%,160%,174% ,1.29,0.73,0.25,0.16,36801,2018.0,0.379834,0.379834,0.379834,344.0,344.0,344.0,344.0,344.0,344.0,20.0,20.0,20.0,8.0,8.0,8.0,,,,,,,,,,372.0,372.0,372.0,93911.99799,49520.70305,12843.71479,259909708.8,246707746.2,0.050794419,31795676.56,12077079.2,238858644.8,21051074.43,246707753.7,0.0,0.0,4399343.298,38586662.11,46750495.07,8008188.56,54758683.63,181143203.7,0.0,240419600.4,297588839.6,44276386.63,344853479.7,585273080.1,17064459.25,0.0,14731216.56,13426628.12,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,46713,62852,1,1
9,10033,University Of Alabama Hospital,619 South 19th Street,Birmingham,AL,35233,UAB Health System,0,2.0,345.0,0.93,0.32,291% ,$254.83,46.0,2.4,0.72,336% ,"$36,760",3.33,1.04,214% ,358%,311%,322% ,2.94,0.85,0.39,0.18,35233,2018.0,0.19706700000000002,0.19706700000000002,0.19706700000000002,772.0,772.0,772.0,772.0,772.0,772.0,37.0,37.0,37.0,,,,,,,254.0,254.0,254.0,,,,1063.0,1063.0,1063.0,210680.453,159342.9911,33510.93627,1456024158.0,1380787143.0,0.051672917,386643863.3,76194744.15,1158107663.0,297916461.3,1271017845.0,109769278.9,2307.41091,28565415.72,3110030183.0,3110030183.0,0.0,3110030183.0,0.0,0.0,3110030183.0,0.0,2121856157.0,2121856157.0,5231886340.0,278802684.6,36451.85675,107877638.8,81437795.05,,1.0,0.0,1.0,0.0,0.747945205,1-Jan-18,30-Sep-18,1.0,0.0,41994,61185,1,6
